,Label,Feature,Correlation
0,STOP_APP,Encoded_Label,1.0000000000000002
1,STOP_APP,Tot Fwd Pkts,0.5719350038801889
2,STOP_APP,Subflow Fwd Pkts,0.5719350038801889
3,STOP_APP,Fwd Act Data Pkts,0.5719350038801889
4,STOP_APP,Fwd Header Len,0.5719108815151729
5,STOP_APP,Bwd Header Len,0.5690846867140554
6,STOP_APP,Tot Bwd Pkts,0.5690846867140554
7,STOP_APP,Subflow Bwd Pkts,0.5690846867140554
8,STOP_APP,Fwd IAT Tot,0.5571441283017747
9,STOP_APP,Bwd IAT Tot,0.5526432377650276
10,STOP_APP,Flow Duration,0.551507764150414
11,STOP_APP,Pkt Len Min,0.5465357250000236
12,STOP_APP,TotLen Bwd Pkts,0.5417751433516063
13,STOP_APP,Subflow Bwd Byts,0.5417751433516063
14,STOP_APP,Fwd Pkt Len Min,0.5401789639276136
15,STOP_APP,Bwd Pkt Len Min,0.5331139899831838
16,STOP_APP,Dst Port,0.5219718085997536
17,STOP_APP,Subflow Fwd Byts,0.5068652886834744
18,STOP_APP,TotLen Fwd Pkts,0.5068652886834744
19,STOP_APP,Bwd Pkt Len Max,0.4668118240418571
20,DNP3_INFO,Encoded_Label,1.0000000000000009
21,DNP3_INFO,Pkt Len Var,0.9998575200651664
22,DNP3_INFO,Fwd Pkt Len Min,0.99909034635847
23,DNP3_INFO,Bwd Seg Size Avg,0.9982116987782084
24,DNP3_INFO,Bwd Pkt Len Mean,0.9982116987782084
25,DNP3_INFO,Pkt Len Std,0.9971492894703133
26,DNP3_INFO,Bwd Pkt Len Std,0.9970640458543768
27,DNP3_INFO,Pkt Size Avg,0.9825851899116129
28,DNP3_INFO,Pkt Len Mean,0.9819208746139141
29,DNP3_INFO,Down/Up Ratio,0.9719179503789036
30,DNP3_INFO,Fwd Pkts/s,0.9700428871470197
31,DNP3_INFO,Bwd Pkt Len Max,0.967478202732822
32,DNP3_INFO,Pkt Len Max,0.9655050101319512
33,DNP3_INFO,Fwd Pkt Len Mean,0.8080881531472373
34,DNP3_INFO,Fwd Seg Size Avg,0.8080881531472373
35,DNP3_INFO,Subflow Fwd Byts,0.8056978514305563
36,DNP3_INFO,TotLen Fwd Pkts,0.8056978514305563
37,DNP3_INFO,Flow Duration,0.7493464405220134
38,DNP3_INFO,Bwd IAT Tot,0.7492956039983585
39,DNP3_INFO,Fwd IAT Tot,0.7423725524082694
40,DISABLE_UNSOLICITED,Encoded_Label,1.0000000000000009
41,DISABLE_UNSOLICITED,Tot Fwd Pkts,0.6284124356063383
42,DISABLE_UNSOLICITED,Subflow Fwd Pkts,0.6284124356063383
43,DISABLE_UNSOLICITED,Fwd Act Data Pkts,0.6284124356063383
44,DISABLE_UNSOLICITED,Fwd Header Len,0.6283926496017139
45,DISABLE_UNSOLICITED,Bwd Header Len,0.627203149503755
46,DISABLE_UNSOLICITED,Tot Bwd Pkts,0.627203149503755
47,DISABLE_UNSOLICITED,Subflow Bwd Pkts,0.627203149503755
48,DISABLE_UNSOLICITED,Subflow Fwd Byts,0.5963248473586663
49,DISABLE_UNSOLICITED,TotLen Fwd Pkts,0.5963248473586663
50,DISABLE_UNSOLICITED,TotLen Bwd Pkts,0.5924406691395786
51,DISABLE_UNSOLICITED,Subflow Bwd Byts,0.5924406691395786
52,DISABLE_UNSOLICITED,Fwd IAT Tot,0.562046762175673
53,DISABLE_UNSOLICITED,Bwd IAT Tot,0.5569489593410379
54,DISABLE_UNSOLICITED,Flow Duration,0.5558061840136697
55,DISABLE_UNSOLICITED,Pkt Len Min,0.5465357250000236
56,DISABLE_UNSOLICITED,Fwd Pkt Len Min,0.5401789639276136
57,DISABLE_UNSOLICITED,Bwd Pkt Len Min,0.5331139899831838
58,DISABLE_UNSOLICITED,Dst Port,0.5219679050387234
59,DISABLE_UNSOLICITED,Bwd Pkt Len Max,0.4739487073246609
60,MITM_DOS,Encoded_Label,1.0000000000000002
61,MITM_DOS,Flow Byts/s,0.8681325632819216
62,MITM_DOS,Flow IAT Max,0.8200401324762743
63,MITM_DOS,Subflow Fwd Byts,0.7886160414179874
64,MITM_DOS,TotLen Fwd Pkts,0.7555562057470993
65,MITM_DOS,Subflow Bwd Pkts,0.7389637005779972
66,MITM_DOS,Subflow Fwd Pkts,0.7271242094744381
67,MITM_DOS,Tot Bwd Pkts,0.7113230289955451
68,MITM_DOS,Bwd Header Len,0.7100213282618992
69,MITM_DOS,Fwd Act Data Pkts,0.7067936479683855
70,MITM_DOS,Tot Fwd Pkts,0.6949805020881343
71,MITM_DOS,Fwd Header Len,0.6927169169010902
72,MITM_DOS,Subflow Bwd Byts,0.6493125004667748
73,MITM_DOS,Flow IAT Mean,0.645982562284983
74,MITM_DOS,Flow IAT Std,0.6321835980347569
